"","Date","Pays","Infections","Deces","Guerisons","long","lat"
"234","7/13/2020","Palestine","6566","39","1084","#N/A","#N/A"
"235","7/13/2020","Poland","38190","1576","27515","19.3901184","52.1275954"
"236","7/13/2020","Pakistan","253604","5320","170656","69.3395803","29.9497522"
"237","7/13/2020","Philippines","57006","1599","20371","122.8839215","11.7753974"
"238","7/13/2020","Papouasie-Nouvelle-Guinea","11","0","8","#N/A","#N/A"
"239","7/13/2020","Peru","330123","12054","221008","-74.3824289","-9.1528028"
"240","7/13/2020","Panama","47173","932","23919","-80.1191515","8.5175119"
"241","7/13/2020","Oman","58179","259","37257","56.0916597","20.6051541"
"242","7/13/2020","New Zealand","1545","22","1498","171.4849539","-41.8111283"
"243","7/13/2020","Nepal","16945","38","10294","83.9158367","28.2489136"
"244","7/13/2020","Norway","8984","253","8138","15.3483297","68.7501441"
"245","7/13/2020","Netherlands","51308","6156","193","5.2814735","52.1008080"
"246","7/13/2020","Nicaragua","2846","91","1993","-85.0305289","12.8470963"
"247","7/13/2020","Nigeria","33153","744","13671","8.0894424","9.5941181"
"248","7/13/2020","Niger","1099","68","992","9.3854645","17.4191260"
"249","7/13/2020","Namibia","861","1","28","17.2096277","-22.1303079"
"250","7/13/2020","Mozambique","1219","9","369","35.5336735","-17.2738190"
"251","7/13/2020","Malaysia","8725","122","8520","109.6976155","3.7898726"
"252","7/13/2020","Mexico","304435","35491","240101","-102.5234504","23.9475393"
"253","7/13/2020","Malawi","2430","39","747","34.2893585","-13.2180697"
"254","7/13/2020","Maldives","2762","13","2290","73.4571108","3.7285473"
"255","7/13/2020","Mauritius","342","10","330","57.5712076","-20.2777156"
"256","7/13/2020","Malta","674","9","660","14.4052204","35.9215132"
"257","7/13/2020","Mauritania","5446","147","2501","-10.3477974","20.2573693"
"258","7/13/2020","Martinique","255","15","98","#N/A","#N/A"
"259","7/13/2020","Mongolia","243","0","204","103.0529965","46.8268143"
"260","7/13/2020","Macao","46","0","45","#N/A","#N/A"
"261","7/13/2020","Birmanie","336","6","261","#N/A","#N/A"
"262","7/13/2020","Mali","2412","121","1730","-3.5426879","17.3458146"
"263","7/13/2020","Macedonia","8197","385","4326","21.6821134","41.5953106"
"264","7/13/2020","Madagascar","5080","37","2494","46.7047375","-19.3718960"
"265","7/13/2020","Montenegro","1287","24","330","19.2388382","42.7889115"
"266","7/13/2020","Saint Martin","43","3","37","-63.0597162","18.0888933"
"267","7/13/2020","Moldova","19439","649","12793","28.4567374","47.1949932"
"268","7/13/2020","Monaco","109","4","97","7.4062805","43.7527611"
"269","7/13/2020","Morocco","15936","255","12934","-8.4561605","29.8376279"
"270","7/13/2020","Libya","1512","40","367","18.0086578","27.0309425"
"271","7/13/2020","Latvia","1174","31","1019","24.9123704","56.8508531"
"272","7/13/2020","Luxembourg","4956","111","4183","6.0718268","49.7672469"
"273","7/13/2020","Lithuania","1874","79","1571","23.8872004","55.3261108"
"274","7/13/2020","Lesotho","245","3","33","28.2272277","-29.5800467"
"275","7/13/2020","Liberia","1024","51","439","-9.3220778","6.4527827"
"276","7/13/2020","Sri Lanka","2646","11","1981","80.7010779","7.6126631"
"277","7/13/2020","Liechtenstein","84","1","81","9.5357359","47.1366545"
"278","7/13/2020","Sainte Lucia","22","0","19","#N/A","#N/A"
"279","7/13/2020","Lebanon","2419","36","1423","35.8801633","33.9230699"
"280","7/13/2020","Laos","19","0","19","103.7377213","18.5021797"
"281","7/13/2020","Kazakhstan","61755","375","35911","67.2914966","48.1568795"
"282","7/13/2020","kuwait","55508","393","45356","47.5869936","29.3343168"
"283","7/13/2020","South Korea","13512","289","12282","127.8391693","36.3852463"
"284","7/13/2020","Saint Kitts andNevis","17","0","15","#N/A","#N/A"
"285","7/13/2020","Comoros","317","7","296","43.6823810","-11.8777757"
"286","7/13/2020","Cambodia","165","0","133","104.9069431","12.7200493"
"287","7/13/2020","Kyrgyzstan","11444","149","3538","74.5416555","41.4622179"
"288","7/13/2020","Kenya","10294","197","2946","37.7959444","0.5998746"
"289","7/13/2020","Japan","22125","984","18058","138.0308921","37.5923006"
"290","7/13/2020","Jordan","1183","10","1008","36.7713725","31.2457939"
"291","7/13/2020","Jamaica","759","10","628","-77.3148256","18.1569548"
"292","7/13/2020","Italiy","243230","34967","195106","#N/A","#N/A"
"293","7/13/2020","Iceland","1900","10","1871","-18.5739709","64.9957526"
"294","7/13/2020","Iran","259652","13032","222539","54.2740707","32.5750329"
"295","7/13/2020","Iraq","79735","3250","46998","43.7435320","33.0397051"
"296","7/13/2020","India","906752","23727","571460","79.6119736","22.8857804"
"297","7/13/2020","Israel","40632","365","19395","35.0044500","31.4611019"
"298","7/13/2020","Irland","25638","1746","23364","#N/A","#N/A"
"299","7/13/2020","Indonesia","76981","3656","36689","117.2400976","-2.2150502"
"300","7/13/2020","Hungary","4247","595","3073","19.3955938","47.1627771"
"301","7/13/2020","Haiti","6727","141","3022","-72.6852736","18.9350096"
"302","7/13/2020","Croatia","3775","119","2514","16.4041308","45.0804728"
"303","7/13/2020","Honduras","28579","789","3123","-86.6151685","14.8268823"
"304","7/13/2020","Hong-Kong","1469","7","1214","#N/A","#N/A"
"305","7/13/2020","Guyana","300","17","155","-58.9820260","4.7937805"
"306","7/13/2020","Guinea Bissau","1842","26","773","-14.9497294","12.0474445"
"307","7/13/2020","Guatemala","29742","1244","4321","-90.3648229","15.6940416"
"308","7/13/2020","Greece","3826","193","1374","22.9555621","39.0746697"
"309","7/13/2020","Equatorial Guinea","3071","51","842","10.3413890","1.7055404"
"310","7/13/2020","Guadeloupe","190","14","157","#N/A","#N/A"
"311","7/13/2020","Guinea","6141","37","4862","-10.9406638","10.4362159"
"312","7/13/2020","Gambia","64","3","34","-15.3960181","13.4496538"
"313","7/13/2020","Ghana","24988","139","21067","-1.2167690","7.9534512"
