"Date","Pays","Infections","Deces","Guerisons","TauxDeces","TauxGuerison","TauxInfection","long","lat"
"7/13/2020","Equatorial Guinea","3071","51","842","1.66","27.42","70.92","10.341389","1.7055404"
"7/13/2020","Guadeloupe","190","14","157","7.37","82.63","10","#N/A","#N/A"
"7/13/2020","Guinea","6141","37","4862","0.6","79.17","20.22","-10.9406638","10.4362159"
"7/13/2020","Gambia","64","3","34","4.69","53.13","42.19","-15.3960181","13.4496538"
"7/13/2020","Ghana","24988","139","21067","0.56","84.31","15.14","-1.216769","7.9534512"
"7/13/2020","Gibraltar","180","0","179","0","99.44","0.56","#N/A","#N/A"
"7/13/2020","Georgia","995","15","857","1.51","86.13","12.36","43.50779","42.1685594"
"7/13/2020","Grenada","23","0","23","0","100","0","-61.6821942","12.1172555"
"7/13/2020","United kingdom","291511","44915","1205","15.41","0.41","84.18","-2.8656336","54.1238716"
"7/13/2020","Gabon","6026","46","3475","0.76","57.67","41.57","11.7886301","-0.5866033"
"7/13/2020","France","211633","30029","78388","14.19","37.04","48.77","2.5361847","46.1870058"
"7/13/2020","Fiji","26","0","18","0","69.23","30.77","165.4505548","-17.4285609"
"7/13/2020","Finland","7295","329","6800","4.51","93.21","2.28","26.2746702","64.4988484"
"7/13/2020","Ethiopia","7766","128","2430","1.65","31.29","67.06","39.6008014","8.6227842"
"7/13/2020","Spain","255953","28406","150376","11.1","58.75","30.15","-3.6475487","40.2444863"
"7/13/2020","Eritrea","232","0","107","0","46.12","53.88","38.8461544","15.3618688"
"7/13/2020","Sahara Occidental","10","1","8","10","80","10","#N/A","#N/A"
"7/13/2020","Egypt","83001","3935","24975","4.74","30.09","65.17","29.8618993","26.4959311"
"7/13/2020","Estonia","2014","69","1895","3.43","94.09","2.48","25.5424855","58.6719242"
"7/13/2020","Ecuador","68459","5063","30369","7.4","44.36","48.24","-78.7520357","-1.4238195"
"7/13/2020","Algeria","19689","1018","14019","5.17","71.2","23.63","2.617321","28.1589384"
"7/13/2020","Dominican Republic","45506","903","22441","1.98","49.31","48.7","-70.5056909","18.8943308"
"7/13/2020","Dominica","18","0","18","0","100","0","-61.3577312","15.4394721"
"7/13/2020","Denemark","13050","610","12143","4.67","93.05","2.28","#N/A","#N/A"
"7/13/2020","Djibouti","4977","56","4729","1.13","95.02","3.86","42.5606768","11.7487205"
"7/13/2020","Germany","200180","9074","185100","4.53","92.47","3","10.3857769","51.106979"
"7/13/2020","Czech Republic","13238","353","8373","2.67","63.25","34.08","15.3124007","49.7334107"
"7/13/2020","Cyprus","1022","19","839","1.86","82.09","16.05","33.0060036","34.9166693"
"7/13/2020","Cape Verde","1698","19","748","1.12","44.05","54.83","-23.9599097","15.9551882"
"7/13/2020","Cuba","2428","87","2268","3.58","93.41","3.01","-79.0160691","21.6229002"
"7/13/2020","Costa Rica","8036","34","2304","0.42","28.67","70.91","-84.1920879","9.9763424"
"7/13/2020","Colombia","150445","5634","63451","3.74","42.18","54.08","-73.0811494","3.9138316"
"7/13/2020","China","83602","4634","78648","5.54","94.07","0.38","103.8190738","36.561768"
"7/13/2020","Cameroon","15173","359","11928","2.37","78.61","19.02","12.7396427","5.691103"
"7/13/2020","Chile","317657","7024","286556","2.21","90.21","7.58","-71.3825588","-37.7306975"
"7/13/2020","Ivory Coast","12872","84","6810","0.65","52.91","46.44","-5.569216","7.6284287"
"7/13/2020","Suiss","32946","1968","29600","5.97","89.84","4.18","#N/A","#N/A"
"7/13/2020","Republic of the Congo","2028","47","589","2.32","29.04","68.64","15.2196572","-0.8378817"
"7/13/2020","Central African Republic","4321","53","1208","1.23","27.96","70.82","20.4682636","6.56823"
"7/13/2020","Democratic Republic of the Congo","8075","190","3620","2.35","44.83","52.82","23.6439564","-2.8774601"
"7/13/2020","Canada","109984","8836","73381","8.03","66.72","25.25","-98.3077572","61.3620683"
"7/13/2020","Belize","37","2","20","5.41","54.05","40.54","-88.7101023","17.2002747"
"7/13/2020","Belarus","65114","468","55492","0.72","85.22","14.06","28.0320871","53.5313115"
"7/13/2020","Botswana","399","1","38","0.25","9.52","90.23","23.7985373","-22.1840203"
"7/13/2020","Bhutan","84","0","76","0","90.48","9.52","90.401895","27.4110619"
"7/13/2020","Bahamas","113","11","91","9.73","80.53","9.73","#N/A","#N/A"
"7/13/2020","Brasil","1884967","72833","1291251","3.86","68.5","27.63","#N/A","#N/A"
"7/13/2020","Bolivia","49250","1866","15294","3.79","31.05","65.16","-64.6853892","-16.7081454"
"7/13/2020","Brunei Darussalam","141","3","138","2.13","97.87","0","#N/A","#N/A"
"7/13/2020","Benin","1378","26","557","1.89","40.42","57.69","2.3278453","9.6417533"
"7/13/2020","Burundi","269","1","207","0.37","76.95","22.68","29.8751201","-3.3593926"
"7/13/2020","Bahrain","33476","109","29099","0.33","86.92","12.75","50.5419776","26.0420085"
"7/13/2020","Bulgaria","7411","276","3517","3.72","47.46","48.82","25.2155233","42.7688999"
"7/13/2020","Burkina Faso","1036","53","869","5.12","83.88","11","-1.7545684","12.2695368"
"7/13/2020","Belgium","62707","9782","17196","15.6","27.42","56.98","4.6406457","50.6398144"
"7/13/2020","Bangladesh","186894","2391","98317","1.28","52.61","46.11","90.2381279","23.8673041"
"7/13/2020","Barbados","103","7","90","6.8","87.38","5.83","-59.559802","13.1814537"
"7/13/2020","Bosnia and Herzegovina","6981","226","3179","3.24","45.54","51.22","17.7687659","44.1744991"
"7/13/2020","Azerbaijan","24570","313","15640","1.27","63.65","35.07","47.5459965","40.2882767"
"7/13/2020","Australia","10251","108","7835","1.05","76.43","22.51","134.4909988","-25.7328874"
"7/13/2020","Austria","18948","708","17000","3.74","89.72","6.54","14.1264781","47.5854985"
"7/13/2020","Argentina","103265","1903","44173","1.84","42.78","55.38","-65.1798088","-35.3813535"
"7/13/2020","Angola","525","26","118","4.95","22.48","72.57","17.5373615","-12.2933611"
"7/13/2020","Armenia","32151","573","19865","1.78","61.79","36.43","44.9299343","40.2895221"
"7/13/2020","Albania","3571","95","2014","2.66","56.4","40.94","20.0498303","41.1424513"
"7/13/2020","Antigua and Barbuda","74","3","57","4.05","77.03","18.92","-61.7946956","17.2775426"
"7/13/2020","Afghanistan","34455","1012","21254","2.94","61.69","35.38","66.0047311","33.8352322"
"7/13/2020","United Arab Emirates","55198","334","45513","0.61","82.45","16.94","54.3001574","23.9052718"
"7/13/2020","Andorra","858","52","803","6.06","93.59","0.35","1.5605337","42.5422917"
"7/12/2020","Andorra","855","52","803","6.08","93.92","0","1.5605337","42.5422917"
"7/12/2020","United Arab Emirates","54854","333","45140","0.61","82.29","17.1","54.3001574","23.9052718"
"7/12/2020","Afghanistan","34451","1010","21216","2.93","61.58","35.49","66.0047311","33.8352322"
"7/12/2020","Antigua and Barbuda","74","3","57","4.05","77.03","18.92","-61.7946956","17.2775426"
"7/12/2020","Albania","3454","93","1946","2.69","56.34","40.97","20.0498303","41.1424513"
"7/12/2020","Armenia","31969","565","19633","1.77","61.41","36.82","44.9299343","40.2895221"
"7/12/2020","Angola","506","26","118","5.14","23.32","71.54","17.5373615","-12.2933611"
"7/12/2020","Argentina","100166","1845","42694","1.84","42.62","55.53","-65.1798088","-35.3813535"
"7/12/2020","Austria","18897","708","16952","3.75","89.71","6.55","14.1264781","47.5854985"
"7/12/2020","Australia","9980","108","7769","1.08","77.85","21.07","134.4909988","-25.7328874"
"7/12/2020","Azerbaijan","24041","306","15093","1.27","62.78","35.95","47.5459965","40.2882767"
"7/12/2020","Bosnia and Herzegovina","6877","221","3115","3.21","45.3","51.49","17.7687659","44.1744991"
"7/12/2020","Barbados","103","7","90","6.8","87.38","5.83","-59.559802","13.1814537"
"7/12/2020","Bangladesh","183795","2352","93614","1.28","50.93","47.79","90.2381279","23.8673041"
"7/12/2020","Belgium","62707","9782","17196","15.6","27.42","56.98","4.6406457","50.6398144"
"7/12/2020","Burkina Faso","1036","53","869","5.12","83.88","11","-1.7545684","12.2695368"
"7/12/2020","Bulgaria","7252","268","3319","3.7","45.77","50.54","25.2155233","42.7688999"
"7/12/2020","Bahrain","32941","108","28425","0.33","86.29","13.38","50.5419776","26.0420085"
"7/12/2020","Burundi","191","1","118","0.52","61.78","37.7","29.8751201","-3.3593926"
"7/12/2020","Benin","1378","26","557","1.89","40.42","57.69","2.3278453","9.6417533"
"7/12/2020","Saint Barth̩lemy","6","0","6","0","100","0","#N/A","#N/A"
"7/12/2020","Brunei Darussalam","141","3","138","2.13","97.87","0","#N/A","#N/A"
"7/12/2020","Bolivia","48187","1807","14843","3.75","30.8","65.45","-64.6853892","-16.7081454"
"7/12/2020","Brasil","1864681","72100","1264843","3.87","67.83","28.3","#N/A","#N/A"
"7/12/2020","Bahamas","111","11","89","9.91","80.18","9.91","#N/A","#N/A"
"7/12/2020","Bhutan","84","0","76","0","90.48","9.52","90.401895","27.4110619"
"7/12/2020","Botswana","399","1","38","0.25","9.52","90.23","23.7985373","-22.1840203"
